,Class,NER
31060,GPE,三民區市
31610,GPE,湄洲
8713,GPE,路竹
7682,GPE,大陸
7684,GPE,上海
8202,GPE,高雄旗津
8665,GPE,鼓山區
7686,GPE,韓國
8654,GPE,柴山桃源里
28944,GPE,林園大寮
7690,GPE,訪美
30881,GPE,內惟國
7814,GPE,左營區明德國小
7820,GPE,海軍眷村
7829,GPE,燕巢
7835,GPE,崗山
7842,GPE,南投縣埔里鎮
8690,GPE,南霸天
8681,GPE,高雄捷運岡山
45056,GPE,興東里
32188,GPE,建工市
5647,GPE,地扎根
5585,GPE,馬公市
5584,GPE,澎湖縣
34626,GPE,魚池鄉
34637,GPE,福安
34708,GPE,埔里鄉
34850,GPE,藍軍
34864,GPE,小港林園
5486,GPE,三民區
5446,GPE,旗山區鄉
34985,GPE,建國
5404,GPE,旗山區
35053,GPE,井修二富
35054,GPE,Shuji MUKAI
35094,GPE,台北市長
35196,GPE,屏東市區
35201,GPE,新興分局
35204,GPE,警察局
5294,GPE,鳥松區鳥松里
5667,GPE,高縣
5668,GPE,城鄉
5671,GPE,駁二
34494,GPE,玉市
6026,GPE,屏山國
34011,GPE,黃韻涵
34082,GPE,檨腳里長
34154,GPE,十全路玉市
5950,GPE,湖內
5935,GPE,太爺里
34216,GPE,王船
34227,GPE,梓官蚵寮
5920,GPE,葉厝里
35469,GPE,學甲區
34294,GPE,中都特區
34315,GPE,美術館特區
34347,GPE,鳳山北 門里
34349,GPE,苓雅區二十二里
34350,GPE,左營福山里
5828,GPE,北京市
34441,GPE,寶島
34460,GPE,東北吉林 省
34476,GPE, By C
5730,GPE,高雄市林園區
5880,GPE,高雄前鎮
33970,GPE,高雄農
35498,GPE,灣子
35501,GPE,灣勝
4881,GPE,岡山區
4878,GPE,新興區
4876,GPE,大寮區
36011,GPE,前鎮區肉豆公
4854,GPE,左營區
4821,GPE,桃園
36207,GPE,鼓岩國
36257,GPE,銀川
4790,GPE,高雄市龍華
4787,GPE,菅谷昭
4783,GPE,鳳西
4768,GPE,大仁
36276,GPE,小林國小
4763,GPE,開成
4761,GPE,菅谷眧
4753,GPE,松本
4747,GPE,旭町
4739,GPE,屏東縣中正國中
36289,GPE,寶隆國
4883,GPE,鹽埕區
4884,GPE,林園區
35870,GPE,前鎮區前鎮
4892,GPE,路竹區
35511,GPE,本和里
35529,GPE,灣成
5138,GPE,高雄市六龜區
5083,GPE,六龜大佛
35604,GPE,林園夜市
5069,GPE,阿部
5058,GPE,長野縣茅野市
35623,GPE,谷縱
5050,GPE,台南地震
5150,GPE,銅祭台
5043,GPE,長野
5008,GPE,高雄城
4988,GPE,崇德國
4964,GPE,左營舊城
35643,GPE,南投縣信義鄉
4947,GPE,台北 市
35675,GPE,賴瑞隆前鎮
